"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.367835495E2,6.778370176E1,2.482046970E1,2.343525300E2,1.259999990E0,3.053999939E2,3.790092468E0,2.500000000E0
1.377840630E2,6.778370792E1,2.482044206E1,2.342349287E2,1.360000014E0,2.957000122E2,3.790092468E0,2.500000000E0
1.387835682E2,6.778371287E1,2.482041142E1,2.341298389E2,1.419999957E0,2.932000122E2,3.790092468E0,2.500000000E0
1.397839456E2,6.778371727E1,2.482037793E1,2.338966952E2,1.470000029E0,2.942999878E2,3.790092468E0,2.500000000E0
1.407841918E2,6.778372272E1,2.482034127E1,2.332707840E2,1.570000052E0,2.946000061E2,3.790092468E0,2.500000000E0
1.417834857E2,6.778372816E1,2.482030995E1,2.332319153E2,1.259999990E0,3.017999878E2,3.790092468E0,2.500000000E0
1.427840615E2,6.778373450E1,2.482028081E1,2.330649954E2,1.480000019E0,3.012000122E2,3.790092468E0,2.500000000E0
1.437835504E2,6.778374219E1,2.482025025E1,2.331351311E2,1.519999981E0,3.080000000E2,3.790092468E0,2.500000000E0
1.447834511E2,6.778375073E1,2.482022219E1,2.331439885E2,1.549999952E0,3.130000000E2,3.790092468E0,2.500000000E0
1.457836021E2,6.778376007E1,2.482019509E1,2.328938731E2,1.519999981E0,3.158999939E2,3.790092468E0,2.500000000E0
1.467837279E2,6.778376810E1,2.482016944E1,2.327629641E2,1.350000024E0,3.098999939E2,3.790092468E0,2.500000000E0
1.477840949E2,6.778377712E1,2.482014859E1,2.326348661E2,1.450000048E0,3.298999939E2,3.790092468E0,2.500000000E0
1.487834314E2,6.778378737E1,2.482013372E1,2.328144506E2,1.350000024E0,3.331000061E2,3.790092468E0,2.500000000E0
1.497838369E2,6.778379666E1,2.482011954E1,2.326114088E2,1.330000043E0,3.283999939E2,3.790092468E0,2.500000000E0
1.507841369E2,6.778380613E1,2.482010539E1,2.328439746E2,1.340000033E0,3.321000061E2,3.790092468E0,2.500000000E0
1.517834718E2,6.778381525E1,2.482009170E1,2.330673254E2,1.279999971E0,3.316000061E2,3.790092468E0,2.500000000E0
1.527833199E2,6.778382435E1,2.482007792E1,2.330403099E2,1.289999962E0,3.346000061E2,3.790092468E0,2.500000000E0
1.537837167E2,6.778383362E1,2.482006851E1,2.329468320E2,1.289999962E0,3.443999939E2,3.790092468E0,2.500000000E0
1.547837483E2,6.778384326E1,2.482005739E1,2.329037051E2,1.279999971E0,3.387000122E2,3.790092468E0,2.500000000E0
1.557843519E2,6.778385320E1,2.482004972E1,2.330982526E2,1.190000057E0,3.506000061E2,3.790092468E0,2.500000000E0
1.567838026E2,6.778386448E1,2.482004784E1,2.331754943E2,1.269999981E0,3.592999878E2,3.790092468E0,2.500000000E0
1.577841806E2,6.778387616E1,2.482004611E1,2.331769295E2,1.340000033E0,3.546000061E2,3.790092468E0,2.500000000E0
1.587836441E2,6.778388734E1,2.482003744E1,2.331305061E2,1.299999952E0,3.412999878E2,3.790092468E0,2.500000000E0
1.597839894E2,6.778389904E1,2.482003143E1,2.330889674E2,1.279999971E0,3.543999939E2,3.790092468E0,2.500000000E0
